No.,Buggy_Trip_Plural_Evaluator1,Buggy_Trip_Plural_Evaluator2,Buggy_Trip_Plural_Consistent,Translation_Label_Evaluator1,Translation_Label_Evaluator2,Translation_Label_Consistent,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Bug_Type_Consistent,Source_Sentence,Source_Regex,Intermediate_Sentence,Translated_Sentence,Translated_Regex,LEVEN,LEVEN_Norm,Dep_Distance,DEP,DEP_Norm,SBERT,SBERT_Norm,BLEU,BLEU_Norm,REG,REG_Norm,DFA_Raw,DFA,DFA_Norm,HYB,HYB_Norm
190,c,,None,correct,correct,correct,,,,rows not having an uppercase letter or a digit,~ ( ( [ <CAP> ] ) | ( [ <NUM> ] ) ),没有大写字母或数字的行,lines without capital letters or numbers,~ ( ( ( [ <LET> ] ) + | ( [ <NUM> ] ) + ) ),0.347826087,0.23942886,9,0.608695652,0.52631579,0.780773238,0.325065466,0.26209131,0.0,0.642857143,0.591836735,0.9996,0.9996,0.9996,0.8212285709999999,0.809310476
191,p,plural,p,bug,bug,bug,,,,rows containing ending with an upper case letter,. * ( . * ) ( [ <CAP> ] ) . *,包含以大写字母结尾的行,contains lines ending in capital letters,. * ( . * ) ( [ <LET> ] ) + . *,0.5,0.425026399,6,0.739130435,0.6842105270000001,0.7823321529999999,0.329911927,0.454288074,0.271197597,0.833333333,0.80952381,0.88055,0.88055,0.88055,0.8569416670000001,0.847404444
192,FW,FW,FW,bug,bug,bug,semantic,semantic,semantic,"lines arranged with a number , 4 or more times","( [ <NUM> ] ) { 4 , }",行数大于或等于4次,the number of rows is greater than or equal to 4 times,"( . * ) ( ( . * { 4 , } ) )",0.314814815,0.19916696,8,0.6521739129999999,0.578947369,0.7828179059999999,0.331422069,0.34338973799999994,0.11471545,0.272727273,0.16883116899999998,False,0.0,0.0,0.13636363599999998,0.078787879
193,c,,None,correct,correct,correct,,,,"lines not having a number , not a lower-case letter , and not a vowel",~ ( ( [ <NUM> ] ) & ( [ <LOW> ] ) & ( [ <VOW> ] ) ),没有数字，没有小写字母和元音的行,"no numbers , no lowercase letters and vowels","( ( [ <NUM> ] ) + { 3 , } ) & ( ( [ <NUM> ] ) + { 3 , } )",0.565217391,0.504568201,11,0.52173913,0.421052631,0.783627105,0.333937763,0.460297844,0.279677632,0.46666666700000003,0.39047619,False,0.0,0.0,0.233333333,0.182222222
194,c,,None,correct,correct,correct,,,,lines with numbers or a vowel at least one time ,( ( [ <NUM> ] ) + | ( [ <VOW> ] ) ) +,用数字或元音至少行一次,use numbers or vowels at least once,( ( [ <NUM> ] ) + | ( ( [ <VOW> ] ) + + ) ) +,0.625,0.577481521,11,0.52173913,0.421052631,0.7845546720000001,0.336821446,0.562557952,0.423970881,0.7333333329999999,0.695238095,False,0.0,0.0,0.36666666700000006,0.324444444
195,a,ambiguity,amb,a,bug,bug,,,,rows not having a capitalized letter at least once,~ ( ( [ <CAP> ] ) + ),至少一次没有大写字母的行,at least one line without capital letters,+ + ~ ( [ <LET> ] ) + +,0.26,0.132312566,12,0.47826087,0.36842105399999997,0.78468922,0.33723973799999996,0.49651534,0.330782019,0.375,0.28571428600000004,False,0.0,0.0,0.1875,0.133333333
196,c,,None,correct,correct,correct,,,,"rows not having a digit , not a capitalized letter , and not a vowel",~ ( ( [ <NUM> ] ) & ( [ <CAP> ] ) & ( [ <VOW> ] ) ),没有数字，大写字母和元音的行,"lines without numbers , capital letters and vowels",~ ( ( [ <NUM> ] ) + & ( [ <LET> ] ) + ) & ( [ <VOW> ] ) +,0.441176471,0.353282813,13,0.434782609,0.31578947399999996,0.78764099,0.346416403,0.359696685,0.137725228,0.705882353,0.663865546,0.0454545,0.0454545,0.0454545,0.375668426,0.334046322
197,c,,None,correct,correct,correct,,,,"lines not having an uppercase letter , not a lower case letter , and not a number",~ ( ( [ <CAP> ] ) & ( [ <LOW> ] ) & ( [ <NUM> ] ) ),没有大写字母，没有小写字母和数字的行,"no capital letters , no lowercase letters and numbers","( ( [ <LET> ] ) + { 3 , } ) & ( [ <NUM> ] ) +",0.543209877,0.477726935,14,0.39130434799999997,0.263157895,0.787662565,0.34648347700000004,0.45979419200000005,0.278966958,0.571428571,0.510204082,False,0.0,0.0,0.28571428600000004,0.23809523800000001
198,c,,None,correct,correct,correct,,,,"lines not having an uppercase letter , not a lower case letter , and not numbers",~ ( ( [ <CAP> ] ) & ( [ <LOW> ] ) & ( [ <NUM> ] ) + ),没有大写字母，没有小写字母和数字的行,"no capital letters , no lowercase letters and numbers","( ( [ <LET> ] ) + { 3 , } ) & ( [ <NUM> ] ) +",0.575,0.516499472,13,0.434782609,0.31578947399999996,0.7912066179999999,0.357501471,0.47879543399999996,0.305778498,0.6,0.542857143,False,0.0,0.0,0.3,0.253333333
199,FW,,FW,bug,correct,bug,semantic,quantity,quantifier,"lines with digits , 5 or more times","( [ <NUM> ] ) { 5 , }",5位或以上的数字行,5 or more digit rows,+ | ( ( [ <NUM> ] ) + | ( [ <NUM> ] ) ) +,0.314285714,0.198521647,5,0.7826086959999999,0.7368421059999999,0.80651238,0.405085071,0.393860771,0.18593216899999998,0.23076923100000002,0.12087912099999999,False,0.0,0.0,0.115384615,0.056410256
200,p,plural,p,bug,bug,bug,,,,lines containing an upper case letter,. * [ <CAP> ] . *,包含大写字母的行,lines containing capital letters,. * ( [ <LET> ] ) + . * ( [ <LET> ] ) + . * . *,0.6756756759999999,0.6392876510000001,2,0.913043478,0.894736842,0.815528191,0.433114041,0.6382818029999999,0.530820373,0.25,0.14285714300000002,0.87943,0.8794299999999999,0.8794299999999999,0.564715,0.535696
201,c,plural,p,correct,bug,bug,,,,"strings with the string <M0> , 3 or more times or starting with numbers","( ( <M0> ) { 3 , } ) | ( ( [ <NUM> ] ) + ( . * ) )",字符串<M0>的字符串，至少3次或以数字开头,"the string of the string <M0> , at least 3 times or beginning with a number","( ( <M0> ) { , 3 } ) | ( ( [ <NUM> ] ) ( . * ) )",0.64,0.595776135,10,0.565217391,0.47368421,0.946177004,0.839284007,0.6487983829999999,0.545659703,0.882352941,0.865546218,0.99843,0.9984299999999999,0.9984299999999999,0.940391471,0.9364175690000001
202,c,,None,correct,correct,correct,,,,"lines with an upper case letter , greater than or equal to 5 times in front of a character","( ( [ <CAP> ] ) { 5 , } ) . * ( . ) . *",大写字母的行，字符前大于或等于5次,"line of capital letters , greater than or equal to 5 times before the character",". * ( ( [ <LET> ] ) + { 5 , } ) . * ( <M0> ) . * . *",0.7,0.668954594,6,0.739130435,0.6842105270000001,0.926642036,0.778552363,0.654761303,0.55407363,0.611111111,0.5555555560000001,False,0.0,0.0,0.305555556,0.25925925899999996
203,p,plural,p,bug,bug,bug,,,,lines containing only a letter,[ <LET> ],仅包含字母的行,rows containing only letters,* ( [ <LET> ] ) + . *,0.7666666670000001,0.750263992,1,0.956521739,0.947368421,0.896828185,0.685865023,0.7618126340000001,0.7051274940000001,0.14285714300000002,0.020408163,False,0.0,0.0,0.071428571,0.00952381
204,p,plural,p,bug,bug,bug,,,,lines with a number in front of an upper case letter,( [ <NUM> ] ) . * ( [ <CAP> ] ) . *,在大写字母前面带有数字的行,lines with numbers in front of capital letters,( [ <NUM> ] ) + . * ( [ <LET> ] ) . *,0.711538462,0.683027375,3,0.869565217,0.842105263,0.8796056659999999,0.632322478,0.658092297,0.5587738010000001,0.818181818,0.792207792,-1.0,0.0,0.0,0.409090909,0.36969697
205,c,,None,correct,correct,correct,,,,"lines not having a character , not the string <M0> , instead of a capitalized letter",~ ( ( . ) & ( <M0> ) & ( [ <CAP> ] ) ),没有字符，不是字符串<M0>而不是大写字母的行,"lines without characters , not strings <M0> instead of capital letters","~ ( ( . ) + { 3 , } ) & ( ( [ <LET> ] ) )",0.7023809520000001,0.6718585,11,0.52173913,0.421052631,0.9546108590000001,0.8655037529999999,0.618833202,0.503377591,0.642857143,0.591836735,False,0.0,0.0,0.321428571,0.276190476
206,FW,FW,FW,bug,bug,bug,"Quantifier , under-translation",ut/quantity,"quantifier, under-translation",the line ends with digits or characters at least once,( ( ( . * )( [ <NUM> ] ) + ) | ( . ) + ) +,该行至少以数字或字符结尾,the line ends with at least numbers or characters,( . * ) ( ( ( [ <NUM> ] ) + | ( . ) + ) | ( . ) + ),0.509433962,0.436532446,3,0.869565217,0.842105263,0.92812813,0.783172433,0.779176815,0.729629072,0.590909091,0.5324675320000001,1.0,1.0,1.0,0.795454545,0.7818181820000001
207,p,plural,p,bug,bug,bug,,,,rows starting with a capital letter or vowels,( ( [ <CAP> ] ) | ( [ <VOW> ] ) + ) ( . * ),以大写字母或元音开头的行,lines beginning with capital letters or vowels,( ( [ <LET> ] ) + | ( [ <VOW> ] ) + ) ( . * ),0.7173913040000001,0.6901657409999999,1,0.956521739,0.947368421,0.922550185,0.765831336,0.67397053,0.581178645,0.8666666670000001,0.847619048,0.230635,0.23063499999999998,0.23063499999999998,0.548650833,0.518560889
208,p,plural,p,bug,bug,bug,,,,lines with a character before a vowel and containing a lower-case letter,( ( . ) . * ( [ <VOW> ] ) . * ) & ( . * [ <LOW> ] . * ),在元音前带有字符且包含小写字母的行,lines with characters in front of vowels and containing lowercase letters,( ( . ) + . * ( [ <VOW> ] ) + . * ) & ( . * [ <LET> ] . * ),0.780821918,0.7675283159999999,7,0.695652174,0.6315789479999999,0.945874104,0.8383423309999999,0.718786156,0.64441535,0.8636363640000001,0.8441558440000001,0.89535,0.89535,0.89535,0.879493182,0.871459394
209,FW,plural,p,bug,bug,bug,,,,lines with words that have starting from digits before the string <M0>,\ b (( [ <NUM> ] ) + ( . * ) ) . * ( <M0> ) . * \ b,带有以数字开头的单词的行，该数字从字符串<M0>前开始,"lines with words that start with a number , the number starts before the string <M0>",\ b ( ( [ <NUM> ] ) ( . * ) ) & ( <M0> ) \ b,0.642857143,0.599260824,8,0.6521739129999999,0.578947369,0.96206975,0.8886924629999999,0.61598811,0.499363048,0.736842105,0.69924812,0.0,0.0,0.0,0.36842105299999994,0.32631578899999997
210,p,plural,p,bug,bug,bug,,,,"strings containing either a vowel , a letter , or a lower-case letter",. * ( [ <VOW> ] ) | ( [ <LET> ] ) | ( [ <LOW> ] ) . *,包含元音，字母或小写字母的字符串,"strings containing vowels , letters or lowercase letters",. * ( [ <VOW> ] ) + | ( [ <LET> ] ) + . *,0.739130435,0.716679675,7,0.695652174,0.6315789479999999,0.930093953,0.789283918,0.6549424429999999,0.554329226,0.666666667,0.6190476189999999,0.59918,0.59918,0.59918,0.6329233329999999,0.608451556
211,c,ambiguity,None,correct,correct,correct,,,,"lines with words that don't have a character , 0 or more times",( \ b ~ ( . ) \ b ) *,没有字符的单词行，0次或多次,"lines of words without characters , 0 or more times",( . * ~ ( . ) + \ b ) *,0.693548387,0.661085942,8,0.6521739129999999,0.578947369,0.9340327629999999,0.80152916,0.6463883429999999,0.542259037,0.727272727,0.688311688,0.0,0.0,0.0,0.363636364,0.321212121
212,c,,None,correct,correct,correct,,,,"strings not having a letter , not the string <M0> , instead of a vowel",~ ( ( [ <LET> ] ) & ( <M0> ) & ( [ <VOW> ] ) ),没有字母的字符串，不是<M0>的字符串，而不是元音,"a string without letters , not a string of <M0> , not a vowel",( [ <LET> ] ) & ( ( [ <LET> ] ) + & ( [ <NUM> ] ) & ( [ <VOW> ] ) ),0.6,0.546990496,7,0.695652174,0.6315789479999999,0.9647227490000001,0.8969402879999999,0.626632987,0.5143834110000001,0.666666667,0.6190476189999999,1.0,1.0,1.0,0.833333333,0.8222222220000001
213,c,,None,correct,correct,correct,,,,lines starting with an upper case letter before a number,( ( [ <CAP> ] ) ( . * ) ) . * ( [ <NUM> ] ) . *,以数字前的大写字母开头的行,lines that start with a capital letter before the number,( \ b ( [ <CAP> ] ) ( . * ) \ b ) . * ( [ <NUM> ] ) . *,0.642857143,0.599260824,6,0.739130435,0.6842105270000001,0.8808923059999999,0.636322473,0.657494376,0.557930109,0.8888888890000001,0.8730158729999999,0.0,0.0,0.0,0.444444444,0.40740740700000005
214,c,,None,correct,correct,correct,,,,lines not having the string <M0> and not a lower-case letter,~ ( ( <M0> ) & ( [ <LOW> ] ) ),没有字符串<M0>且没有小写字母的行,lines without string <M0> and without lowercase letters,~ ( ( <M0> ) & ( [ <LET> ] ) + ),0.683333333,0.6486272439999999,11,0.52173913,0.421052631,0.919477557,0.75627894,0.615285862,0.49837214700000004,0.818181818,0.792207792,0.0,0.0,0.0,0.409090909,0.36969697
215,c,,None,correct,correct,correct,,,,"lines not having the string <M0> , not characters , nor a number",~ ( ( <M0> ) & ( . ) + & ( [ <NUM> ] ) ),行没有字符串<M0>，没有字符，也没有数字,"line has no string <M0> , no characters , no numbers",( ( <M0> ) & ( . ) + & ( [ <NUM> ] ) + ),0.734375,0.710879752,10,0.565217391,0.47368421,0.978082083,0.9384726990000001,0.667061885,0.571430261,0.8666666670000001,0.847619048,1.0,1.0,1.0,0.933333333,0.9288888890000001
216,c,,None,correct,correct,correct,,,,lines with a letter at least one time and ending with the string <M0>,( ( [ <LET> ] ) + ) & ( ( . * ) ( <M0> ) ),行中至少有一个字母并以字符串<M0>结尾,there is at least one letter in the line and ends with the string <M0>,( ( [ <LET> ] ) + + ) & ( ( . * ) ( <M0> ) ),0.585714286,0.529567054,3,0.869565217,0.842105263,0.9044857559999999,0.7096714040000001,0.7497805059999999,0.688149662,0.9411764709999999,0.9327731090000001,False,0.0,0.0,0.470588235,0.43529411799999995
217,c,,None,correct,correct,correct,,,,lines not having a lower-case letter and not letters,~ ( ( [ <LOW> ] ) &( [ <LET> ] ) + ),行没有小写字母，也没有字母,lines have no lowercase letters and no letters,~ ( ( [ <LET> ] ) + & ( [ <LET> ] ) + ),0.7692307690000001,0.7533912759999999,7,0.695652174,0.6315789479999999,0.9415690809999999,0.824958581,0.661481041,0.563555459,0.833333333,0.80952381,0.99999,0.9999899999999999,0.9999899999999999,0.9166616670000001,0.9111057779999999
218,p,plural,p,bug,bug,bug,,,,lines with a vowel or a numeric character in front of a capital letter,( ( [ <VOW> ] ) | ( [ <NUM> ] ) ) . * ( [ <CAP> ] ) . *,在大写字母前带有元音或数字字符的行,lines with vowels or numeric characters before capital letters,( ( [ <VOW> ] ) + | ( [ <NUM> ] ) + ) . * ( [ <LET> ] ) + . *,0.7428571429999999,0.7212249209999999,5,0.7826086959999999,0.7368421059999999,0.941440378,0.824558461,0.680131103,0.589871469,0.7894736840000001,0.759398496,0.428571,0.428571,0.428571,0.609022342,0.582957165
219,FW,,FW,bug,correct,bug,quantifier ,quantity,quantifier,lines arranged with words that have the string <M0> before a vowel at least once,( \ b ( <M0> ) . * ( [ <VOW> ] ) . * \ b ) +,在元音之前至少用一次包含字符串<M0>的单词排列的行,rows arranged with words containing the string <M0> at least once before the vowel,( \ b ( <M0> ) + . * ) . * ( [ <VOW> ] ) . *,0.5365853660000001,0.46964741,5,0.7826086959999999,0.7368421059999999,0.951149778,0.854743707,0.774133222,0.722512354,0.5625,0.5,-1.0,0.0,0.0,0.28125,0.233333333
220,p,plural,p,bug,bug,bug,,,,"lines with the string <M0> , no more than 2 times or containing a lower-case letter","( ( <M0> ) { , 2 } ) | ( . * [ <LOW> ] . * )",字符串<M0>的行，最多2次或包含小写字母,"line of string <M0> , up to 2 times or containing lowercase letters","( ( <M0> ) { , 2 } ) | ( . * [ <LET> ] . * )",0.7228915659999999,0.696874085,9,0.608695652,0.52631579,0.950732563,0.8534466409999999,0.6498440679999999,0.5471352079999999,0.9285714290000001,0.918367347,0.88055,0.88055,0.88055,0.904560714,0.898198095
221,c,,None,correct,correct,correct,,,,"lines not having digits , not the string <M0> , instead of a lower-case letter instead of the string <M1>",~ ( (( [ <NUM> ] ) + & ( <M0> ) & ( [ <LOW> ] ) ) & ( <M1> ) ),没有数字的行，不是字符串<M0>，而不是小写字母，而不是字符串<M1>,"lines without numbers , not the string <M0> , not lowercase letters , not the string <M1>",~ ( ( [ <NUM> ] ) + & ( <M0> ) & ( [ <LET> ] ) + ),0.6761904759999999,0.639915523,11,0.52173913,0.421052631,0.9590698329999999,0.8793661159999999,0.61182135,0.493483577,0.666666667,0.6190476189999999,0.0,0.0,0.0,0.333333333,0.288888889
222,c,,None,correct,correct,correct,,,,lines ending with an upper case letter or not the string <M0>,( ( . * ) ( [ <CAP> ] ) ) | ( ~ ( <M0> ) ),行以大写字母结尾或不是字符串<M0>,the line ends with a capital letter or is not a string <M0>,( ( . * ) ( [ <CAP> ] ) ) | ( ~ ( <M0> ) ),0.62295082,0.574982257,5,0.7826086959999999,0.7368421059999999,0.878614985,0.629242581,0.641778133,0.535753839,1.0,1.0,1.0,1.0,1.0,1.0,1.0
223,c,ambiguity,None,correct,bug,correct,,,,the line ends with an uppercase letter at least once or vowels,( . * ) ( ( ( [ <CAP> ] ) + ) | ( [ <VOW> ] ) + ),该行至少以一次大写字母或元音结尾,the line ends with at least one capital letter or vowel,( . * ) ( ( ~ ( [ <LET> ] ) + ) | ( [ <VOW> ] ) ),0.612903226,0.562727799,7,0.695652174,0.6315789479999999,0.880663084,0.635609852,0.721531826,0.648289605,0.8235294120000001,0.7983193279999999,0.00047301524,0.000473015,0.000473015,0.412001214,0.372801294
224,FW,BW,BW,bug,bug,bug,Under-translation,affiliation/ut,"affiliation, under-translation","lines with words that have the string <M0> or the string <M1> , greater than or equal to zero times",\ b ( ( <M0> ) | ( <M1> ) ) * \ b,包含字符串<M0>或字符串<M1>且大于或等于零倍的单词的行,lines containing words <M0> or <M1> and greater than or equal to zero times,( . * <M0> . * ) | ( ( [ <VOW> ] ) * ),0.595959596,0.542062654,14,0.39130434799999997,0.263157895,0.920621129,0.759834155,0.608027323,0.488130048,0.428571429,0.346938776,8.120442499999999e-06,8.12044e-06,8.12044e-06,0.214289775,0.161909093
225,FW,,None,bug,correct,correct,,,,"lines with the string <M0> , 6 or more times before numbers","( ( <M0> ) { 6 , } ) . * ( [ <NUM> ] ) + . *",字符串<M0>的行，数字前至少6次,"the line of the string <M0> , at least 6 times before the number","( ( . * <M0> . * ) { 5 , } ) . * ( [ <NUM> ] ) . *",0.640625,0.596538411,8,0.6521739129999999,0.578947369,0.923301259,0.768166327,0.671628835,0.5778744170000001,0.647058824,0.596638655,0.0,0.0,0.0,0.323529412,0.278431373
226,c,,None,correct,correct,correct,,,,"lines ending with the string <M0> followed by a character , up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",以字符串<M0>结尾的行，后跟一个字符，最多3次,"line ending with the string <M0> , followed by a character , up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",0.9594594590000001,0.985401981,1,0.956521739,0.947368421,0.9959807759999999,0.9941173809999999,0.940739008,0.957600021,1.0,1.0,1.0,1.0,1.0,1.0,1.0
227,FW,"FW, ambiguity",FW,bug,bug,bug,affiliation,affiliation,affiliation,"lines not containing only the string <M0> , greater than or equal to 0 times",~ ( ( <M0> ) * ),仅包含字符串<M0>的行，大于或等于0次,"lines containing only the string <M0> , greater than or equal to 0 times",( . * <M0> . * ) *,0.947368421,0.970655255,1,0.956521739,0.947368421,0.962857228,0.891140629,0.9359902520000001,0.9508993290000001,0.375,0.28571428600000004,0.0,0.0,0.0,0.1875,0.133333333
